combination,encoder,decoder,training_status,evaluation_status,BLEU-1,BLEU-2,BLEU-3,BLEU-4,METEOR,ROUGE-L,CIDEr,timestamp
resnet50_lstm,resnet50,lstm,success,success,0.5853,0.3988,0.2652,0.1737,0.3883,0.4414,0.442,2025-10-07T01:39:34.550190
resnet50_gru,resnet50,gru,success,success,0.5532,0.3758,0.2445,0.1585,0.3787,0.4324,0.4165,2025-10-07T02:00:12.234051
resnet50_transformer,resnet50,transformer,success,success,0.5509,0.3713,0.2431,0.1587,0.3838,0.4302,0.4318,2025-10-07T02:21:17.941982
resnet101_lstm,resnet101,lstm,success,success,0.5707,0.3907,0.2576,0.1677,0.3901,0.4395,0.4438,2025-10-07T02:42:39.361791
resnet101_gru,resnet101,gru,success,success,0.5866,0.4026,0.2693,0.1785,0.3856,0.4448,0.4441,2025-10-07T03:06:05.961512
resnet101_transformer,resnet101,transformer,success,success,0.5827,0.3978,0.2657,0.1775,0.3836,0.4397,0.468,2025-10-07T03:29:47.742578
vit_b_16_lstm,vit_b_16,lstm,success,success,0.5832,0.4064,0.2713,0.1805,0.3979,0.4464,0.488,2025-10-07T03:53:17.946873
vit_b_16_gru,vit_b_16,gru,success,success,0.596,0.4105,0.27,0.1732,0.3876,0.4461,0.4869,2025-10-07T04:49:54.013689
vit_b_16_transformer,vit_b_16,transformer,success,success,0.5711,0.3861,0.2515,0.1627,0.3857,0.4364,0.4474,2025-10-07T05:46:46.530696
